Product Code,Product Name,Product Category,UOM,UPC,Bill of Materials,Batched Product
101768,SORBITOL POWDER E420i,POWDER,Kilogram,1351214000158,N,N
101587,"SCHNELLKREM,BASIC BUTTER CREAM SEIBIN""",PASTE & CREAMS,Kilogram,1351214000159,N,N
101301,SESAME SEED (ROASTED),DRY-FRUITS & NUTS,Pieces,1351214000160,N,N
102046,SPECULOUS GRINDED BISCUIT,BISCUITS,Kilogram,1351214000162,N,N
101594,SPRINT FARM CHEESE,PASTE & CREAMS,Kilogram,1351214000163,N,N
101600,TAHINA,PASTE & CREAMS,Kilogram,1351214000165,N,N
101778,TEGRAL SATIN CREAM CAKE CHOCOLATE (4117904),POWDER,Kilogram,1351214000166,N,N
101255,TUKISH DRIED APRICOTS JUMBO A - 5KG X 3,DRY-FRUITS & NUTS,Kilogram,1351214000167,N,N
101614,VANILLA AROMA ( MAURITIUS FLAVOR ),PASTE & CREAMS,Kilogram,1351214000170,N,N
101613,VANILLA 30 PLUS,PASTE & CREAMS,Kilogram,1351214000171,N,N
101792,VANILLA SPONGE MIX,POWDER,Kilogram,1351214000172,N,N
101623,VERIEGATO GIOTTO,PASTE & CREAMS,Kilogram,1351214000175,N,N
101799,WHITE COLORANT POWDER,POWDER,Kilogram,1351214000180,N,N
101635,YOGURT,PASTE & CREAMS,Kilogram,1351214000182,N,N
101917,SALSA TOPPING FRUTTI DI BOSCO/MIX BERRIES,TOPPING,Kilogram,1351214000184,N,N
101916,SALSA TOPPING FRAGOLA (STRAWBERRY),TOPPING,Kilogram,1351214000185,N,N
101919,SALSA TOPPING MOU,TOPPING,Kilogram,1351214000186,N,N
101918,SALSA TOPPING LAMPONE (RASPBERRY),TOPPING,Kilogram,1351214000188,N,N
101915,SALSA TOPPING CIOCCOLATO(CHOCOLATE),TOPPING,Kilogram,1351214000189,N,N
101523,PASTA PISTACHIO 100% DELUXE,PASTE & CREAMS,Kilogram,1351214000190,N,N
101610,UHT FULL FAT MILK,PASTE & CREAMS,Litre,1351214000201,N,N
101036,DAIRY BUTTER,CHEESE & BUTTER,Kilogram,1351214000210,N,N
101242,DATES SAGAI JUMBO,DRY-FRUITS & NUTS,Kilogram,1351214000211,N,N
101267,HAZELNUT NATURAL 14-16MM,DRY-FRUITS & NUTS,Kilogram,1351214000213,N,N
101729,MODECOR POWER LAKE BLACK 100G,POWDER,Kilogram,1351214000214,N,N
101507,OLDENBURGER SHANI CREAM,PASTE & CREAMS,Litre,1351214000215,N,N
101539,PISTACHIO NATURAL PASTE,PASTE & CREAMS,Kilogram,1351214000217,N,N
101390,BLACK COLORANT POWDER,PASTE & CREAMS,Kilogram,1351214000225,N,N
104394,STICKER ATAYEB CIGAR RECT.GOLD 1X5000,STICKERS,Rolls,1351214000228,N,N
104397,STICKER ATAYEB FINGER SHORT GOLD 1X10000,STICKERS,Pieces,1351214000231,N,N
104398,STICKER ATAYEB OVAL GOLD 3*1.8CM (5000'S),STICKERS,Rolls,1351214000232,N,N
104401,STICKER ATAYEB ROUND GOLD 1X5000 (2.5CM),STICKERS,Rolls,1351214000234,N,N
104403,STICKER ATAYEB SQUARE GOLD 3CM,STICKERS,Rolls,1351214000236,N,N
100963,BATH TOWEL BIG,CLEANING ITEM,Pieces,1351214000242,N,N
104838,BEIGE MSC-29 7CM,WRAPPING,Kilogram,1351214000244,N,N
104836,MSC-28 BEIGE 7CM,WRAPPING,Kilogram,1351214000245,N,N
104840,BLACK MMC22 10.5CM,WRAPPING,Kilogram,1351214000246,N,N
104841,BLACK MMC22 7 CM,BELGIUM- OPEN,Kilogram,1351214000247,N,N
